/* SENSOR DESCRIPTION:
Date/Time (sampling start);	Date/Time (sampling end);	Obs duration [min];	Measurement [pptv]
17-02-14 09:00	;17-02-14 09:01	;1 ;	616.0	 ;
17-02-14 09:01	;17-02-14 09:02	;1;	604.1    ;
17-02-14 09:02	;17-02-14 09:04	;1;	868.0    ;
17-02-14 09:04	;17-02-14 09:05	;1;	498.6    ;
17-02-14 09:05	;17-02-14 09:07	;1;	393.1    ;
17-02-14 09:07	;17-02-14 09:08	;1;	409.0    ;
17-02-14 09:08	;17-02-14 09:10	;1;	640.2    ;
17-02-14 09:10	;17-02-14 09:11	;1;	265.3    ;
17-02-14 09:11	;17-02-14 09:12	;1;	192.7    ;
17-02-14 09:12	;17-02-14 09:14	;1;	1149.1   ;
17-02-14 09:14	;17-02-14 09:15	;1;	972.8    ;
17-02-14 09:15	;17-02-14 09:17	;1;	1137.5   ;
17-02-14 09:17	;17-02-14 09:18	;1;	669.5    ;
17-02-14 09:18	;17-02-14 09:20	;1;	595.5    ;
17-02-14 09:20	;17-02-14 09:21	;1;	741.2    ;
17-02-14 09:21	;17-02-14 09:23	;1;	612.6    ;
17-02-14 09:23	;17-02-14 09:24	;1;	312.0    ;
17-02-14 09:24	;17-02-14 09:25	;1;	400.2    ;
17-02-14 09:25	;17-02-14 09:27	;1;	264.7    ;
17-02-14 09:27	;17-02-14 09:28	;1;	290.0    ;
17-02-14 09:28	;17-02-14 09:30	;1;	459.5    ;
17-02-14 09:30	;17-02-14 09:31	;1;	444.0    ;
17-02-14 09:31	;17-02-14 09:33	;1;	175.1    ;
17-02-14 09:33	;17-02-14 09:34	;1;	102.3    ;
17-02-14 09:34	;17-02-14 09:36	;1;	128.8    ;
17-02-14 09:36	;17-02-14 09:37	;1;	200.2    ;
17-02-14 09:37	;17-02-14 09:38	;1;	358.3    ;
17-02-14 09:38	;17-02-14 09:40	;1;	611.1    ;
17-02-14 09:40	;17-02-14 09:41	;1;	499.3    ;
17-02-14 09:41	;17-02-14 09:43	;1;	537.8    ;
17-02-14 09:43	;17-02-14 09:44	;1;	220.0    ;
17-02-14 09:44	;17-02-14 09:46	;1;	479.2    ;
17-02-14 09:46	;17-02-14 09:47	;1;	133.2    ;
17-02-14 09:47	;17-02-14 09:48	;1;	98.2     ;
17-02-14 09:48	;17-02-14 09:50	;1;	92.5     ;
17-02-14 09:50	;17-02-14 09:51	;1;	21.0     ;
17-02-14 09:51	;17-02-14 09:53	;1;	353.0    ;
17-02-14 09:53	;17-02-14 09:54	;1;	358.0    ;
17-02-14 09:54	;17-02-14 09:56	;1;	233.3    ;
17-02-14 09:56	;17-02-14 09:57	;1;	198.3    ;
17-02-14 09:57	;17-02-14 09:59	;1;	507.2    ;
17-02-14 09:59	;17-02-14 10:00	;1;	313.7    ;
17-02-14 10:00	;17-02-14 10:01	;1;	165.1    ;
17-02-14 10:01	;17-02-14 10:03	;1;	295.6    ;
17-02-14 10:03	;17-02-14 10:04	;1;	527.7    ;
17-02-14 10:04	;17-02-14 10:06	;1;	454.1    ;
17-02-14 10:06	;17-02-14 10:07	;1;	240.3    ;
17-02-14 10:07	;17-02-14 10:09	;1;	590.8    ;
17-02-14 10:09	;17-02-14 10:10	;1;	638.3    ;
17-02-14 10:10	;17-02-14 10:12	;1;	949.8    ;
17-02-14 10:12	;17-02-14 10:13	;1;	886.8    ;
17-02-14 10:13	;17-02-14 10:14	;1;	635.5    ;
17-02-14 10:14	;17-02-14 10:16	;1;	359.3    ;
17-02-14 10:16	;17-02-14 10:17	;1;	484.7    ;
17-02-14 10:17	;17-02-14 10:19	;1;	529.7    ;
17-02-14 10:19	;17-02-14 10:20	;1;	585.8    ;
17-02-14 10:20	;17-02-14 10:22	;1;	367.7    ;
17-02-14 10:22	;17-02-14 10:23	;1;	324.7    ;
17-02-14 10:23	;17-02-14 10:24	;1;	489.0    ;
17-02-14 10:24	;17-02-14 10:26	;1;	570.8    ;
17-02-14 10:26	;17-02-14 10:27	;1;	419.7    ;
17-02-14 10:27	;17-02-14 10:29	;1;	532.8    ;
17-02-14 10:29	;17-02-14 10:30	;1;	425.2    ;
17-02-14 10:30	;17-02-14 10:32	;1;	467.5    ;
17-02-14 10:32	;17-02-14 10:33	;1;	362.2    ;
17-02-14 10:33	;17-02-14 10:35	;1;	429.2    ;
17-02-14 10:35	;17-02-14 10:36	;1;	446.0    ;
17-02-14 10:36	;17-02-14 10:37	;1;	192.9    ;
17-02-14 10:37	;17-02-14 10:39	;1;	630.3    ;
17-02-14 10:39	;17-02-14 10:40	;1;	364.9    ;
17-02-14 10:40	;17-02-14 10:42	;1;	111.4    ;
17-02-14 10:42	;17-02-14 10:43	;1;	89.8     ;
17-02-14 10:43	;17-02-14 10:45	;1;	82.5     ;
17-02-14 10:45	;17-02-14 10:46	;1;	296.5    ;
17-02-14 10:46	;17-02-14 10:48	;1;	215.4    ;
17-02-14 10:48	;17-02-14 10:49	;1;	454.5    ;
17-02-14 10:49	;17-02-14 10:50	;1;	384.7    ;
17-02-14 10:50	;17-02-14 10:52	;1;	253.2    ;
17-02-14 10:52	;17-02-14 10:53	;1;	289.5    ;
