/* MODELED VALUE AT SENSOR LOCATION:
Date/Time (sampling start)	;	Date/Time (sampling end)	;	Obs duration [min]	;	Modeled values
17-02-14 09:00	;	17-02-14 09:01	;	1	;	708.7
17-02-14 09:01	;	17-02-14 09:02	;	1	;	689.2
17-02-14 09:02	;	17-02-14 09:04	;	1	;	674.8
17-02-14 09:04	;	17-02-14 09:05	;	1	;	668.8
17-02-14 09:05	;	17-02-14 09:07	;	1	;	560.2
17-02-14 09:07	;	17-02-14 09:08	;	1	;	740.9
17-02-14 09:08	;	17-02-14 09:10	;	1	;	249.6
17-02-14 09:10	;	17-02-14 09:11	;	1	;	259.6
17-02-14 09:11	;	17-02-14 09:12	;	1	;	91.6
17-02-14 09:12	;	17-02-14 09:14	;	1	;	1217.5
17-02-14 09:14	;	17-02-14 09:15	;	1	;	1275.8
17-02-14 09:15	;	17-02-14 09:17	;	1	;	1225.7
17-02-14 09:17	;	17-02-14 09:18	;	1	;	1052.8
17-02-14 09:18	;	17-02-14 09:20	;	1	;	862.0
17-02-14 09:20	;	17-02-14 09:21	;	1	;	589.5
17-02-14 09:21	;	17-02-14 09:23	;	1	;	602.4
17-02-14 09:23	;	17-02-14 09:24	;	1	;	398.9
17-02-14 09:24	;	17-02-14 09:25	;	1	;	340.2
17-02-14 09:25	;	17-02-14 09:27	;	1	;	612.1
17-02-14 09:27	;	17-02-14 09:28	;	1	;	428.4
17-02-14 09:28	;	17-02-14 09:30	;	1	;	355.0
17-02-14 09:30	;	17-02-14 09:31	;	1	;	216.0
17-02-14 09:31	;	17-02-14 09:33	;	1	;	216.6
17-02-14 09:33	;	17-02-14 09:34	;	1	;	126.1
17-02-14 09:34	;	17-02-14 09:36	;	1	;	16.5
17-02-14 09:36	;	17-02-14 09:37	;	1	;	301.9
17-02-14 09:37	;	17-02-14 09:38	;	1	;	481.8
17-02-14 09:38	;	17-02-14 09:40	;	1	;	1010.2
17-02-14 09:40	;	17-02-14 09:41	;	1	;	752.5
17-02-14 09:41	;	17-02-14 09:43	;	1	;	724.0
17-02-14 09:43	;	17-02-14 09:44	;	1	;	523.3
17-02-14 09:44	;	17-02-14 09:46	;	1	;	357.5
17-02-14 09:46	;	17-02-14 09:47	;	1	;	195.3
17-02-14 09:47	;	17-02-14 09:48	;	1	;	167.3
17-02-14 09:48	;	17-02-14 09:50	;	1	;	104.6
17-02-14 09:50	;	17-02-14 09:51	;	1	;	127.4
17-02-14 09:51	;	17-02-14 09:53	;	1	;	307.8
17-02-14 09:53	;	17-02-14 09:54	;	1	;	280.9
17-02-14 09:54	;	17-02-14 09:56	;	1	;	355.3
17-02-14 09:56	;	17-02-14 09:57	;	1	;	12.7
17-02-14 09:57	;	17-02-14 09:59	;	1	;	3.0
17-02-14 09:59	;	17-02-14 10:00	;	1	;	0.2
17-02-14 10:00	;	17-02-14 10:01	;	1	;	16.5
17-02-14 10:01	;	17-02-14 10:03	;	1	;	329.9
17-02-14 10:03	;	17-02-14 10:04	;	1	;	308.0
17-02-14 10:04	;	17-02-14 10:06	;	1	;	301.0
17-02-14 10:06	;	17-02-14 10:07	;	1	;	417.5
17-02-14 10:07	;	17-02-14 10:09	;	1	;	579.3
17-02-14 10:09	;	17-02-14 10:10	;	1	;	756.6
17-02-14 10:10	;	17-02-14 10:12	;	1	;	1004.2
17-02-14 10:12	;	17-02-14 10:13	;	1	;	855.6
17-02-14 10:13	;	17-02-14 10:14	;	1	;	761.0
17-02-14 10:14	;	17-02-14 10:16	;	1	;	412.6
17-02-14 10:16	;	17-02-14 10:17	;	1	;	360.7
17-02-14 10:17	;	17-02-14 10:19	;	1	;	332.0
17-02-14 10:19	;	17-02-14 10:20	;	1	;	291.4
17-02-14 10:20	;	17-02-14 10:22	;	1	;	368.0
17-02-14 10:22	;	17-02-14 10:23	;	1	;	270.9
17-02-14 10:23	;	17-02-14 10:24	;	1	;	274.6
17-02-14 10:24	;	17-02-14 10:26	;	1	;	337.1
17-02-14 10:26	;	17-02-14 10:27	;	1	;	254.4
17-02-14 10:27	;	17-02-14 10:29	;	1	;	414.2
17-02-14 10:29	;	17-02-14 10:30	;	1	;	365.7
17-02-14 10:30	;	17-02-14 10:32	;	1	;	411.5
17-02-14 10:32	;	17-02-14 10:33	;	1	;	306.4
17-02-14 10:33	;	17-02-14 10:35	;	1	;	287.4
17-02-14 10:35	;	17-02-14 10:36	;	1	;	338.1
17-02-14 10:36	;	17-02-14 10:37	;	1	;	253.8
17-02-14 10:37	;	17-02-14 10:39	;	1	;	322.5
17-02-14 10:39	;	17-02-14 10:40	;	1	;	326.7
17-02-14 10:40	;	17-02-14 10:42	;	1	;	196.4
17-02-14 10:42	;	17-02-14 10:43	;	1	;	146.5
17-02-14 10:43	;	17-02-14 10:45	;	1	;	248.0
17-02-14 10:45	;	17-02-14 10:46	;	1	;	253.2
17-02-14 10:46	;	17-02-14 10:48	;	1	;	299.7
17-02-14 10:48	;	17-02-14 10:49	;	1	;	274.2
17-02-14 10:49	;	17-02-14 10:50	;	1	;	324.6
17-02-14 10:50	;	17-02-14 10:52	;	1	;	488.3
17-02-14 10:52	;	17-02-14 10:53	;	1	;	304.1
