/* MODELED VALUE AT SENSOR LOCATION:
Date/Time (sampling start)	;	Date/Time (sampling end)	;	Obs duration [min]	;	Modeled values
17-02-14 09:00	;	17-02-14 09:01	;	1	;	516.5
17-02-14 09:01	;	17-02-14 09:02	;	1	;	496.7
17-02-14 09:02	;	17-02-14 09:04	;	1	;	516.8
17-02-14 09:04	;	17-02-14 09:05	;	1	;	548.3
17-02-14 09:05	;	17-02-14 09:07	;	1	;	581.9
17-02-14 09:07	;	17-02-14 09:08	;	1	;	621.4
17-02-14 09:08	;	17-02-14 09:10	;	1	;	553.5
17-02-14 09:10	;	17-02-14 09:11	;	1	;	446.0
17-02-14 09:11	;	17-02-14 09:12	;	1	;	485.0
17-02-14 09:12	;	17-02-14 09:14	;	1	;	520.6
17-02-14 09:14	;	17-02-14 09:15	;	1	;	536.9
17-02-14 09:15	;	17-02-14 09:17	;	1	;	617.4
17-02-14 09:17	;	17-02-14 09:18	;	1	;	637.3
17-02-14 09:18	;	17-02-14 09:20	;	1	;	664.1
17-02-14 09:20	;	17-02-14 09:21	;	1	;	665.3
17-02-14 09:21	;	17-02-14 09:23	;	1	;	672.4
17-02-14 09:23	;	17-02-14 09:24	;	1	;	659.5
17-02-14 09:24	;	17-02-14 09:25	;	1	;	586.0
17-02-14 09:25	;	17-02-14 09:27	;	1	;	705.9
17-02-14 09:27	;	17-02-14 09:28	;	1	;	708.8
17-02-14 09:28	;	17-02-14 09:30	;	1	;	602.4
17-02-14 09:30	;	17-02-14 09:31	;	1	;	681.1
17-02-14 09:31	;	17-02-14 09:33	;	1	;	825.4
17-02-14 09:33	;	17-02-14 09:34	;	1	;	522.9
17-02-14 09:34	;	17-02-14 09:36	;	1	;	834.9
17-02-14 09:36	;	17-02-14 09:37	;	1	;	728.0
17-02-14 09:37	;	17-02-14 09:38	;	1	;	742.4
17-02-14 09:38	;	17-02-14 09:40	;	1	;	679.0
17-02-14 09:40	;	17-02-14 09:41	;	1	;	725.7
17-02-14 09:41	;	17-02-14 09:43	;	1	;	675.9
17-02-14 09:43	;	17-02-14 09:44	;	1	;	640.8
17-02-14 09:44	;	17-02-14 09:46	;	1	;	544.7
17-02-14 09:46	;	17-02-14 09:47	;	1	;	738.5
17-02-14 09:47	;	17-02-14 09:48	;	1	;	1064.9
17-02-14 09:48	;	17-02-14 09:50	;	1	;	741.2
17-02-14 09:50	;	17-02-14 09:51	;	1	;	805.2
17-02-14 09:51	;	17-02-14 09:53	;	1	;	576.9
17-02-14 09:53	;	17-02-14 09:54	;	1	;	225.3
17-02-14 09:54	;	17-02-14 09:56	;	1	;	719.1
17-02-14 09:56	;	17-02-14 09:57	;	1	;	745.2
17-02-14 09:57	;	17-02-14 09:59	;	1	;	664.9
17-02-14 09:59	;	17-02-14 10:00	;	1	;	667.1
17-02-14 10:00	;	17-02-14 10:01	;	1	;	703.9
17-02-14 10:01	;	17-02-14 10:03	;	1	;	695.3
17-02-14 10:03	;	17-02-14 10:04	;	1	;	775.0
17-02-14 10:04	;	17-02-14 10:06	;	1	;	995.6
17-02-14 10:06	;	17-02-14 10:07	;	1	;	933.8
17-02-14 10:07	;	17-02-14 10:09	;	1	;	666.5
17-02-14 10:09	;	17-02-14 10:10	;	1	;	400.1
17-02-14 10:10	;	17-02-14 10:12	;	1	;	528.9
17-02-14 10:12	;	17-02-14 10:13	;	1	;	517.4
17-02-14 10:13	;	17-02-14 10:14	;	1	;	596.6
17-02-14 10:14	;	17-02-14 10:16	;	1	;	937.6
17-02-14 10:16	;	17-02-14 10:17	;	1	;	979.0
17-02-14 10:17	;	17-02-14 10:19	;	1	;	980.0
17-02-14 10:19	;	17-02-14 10:20	;	1	;	1100.1
17-02-14 10:20	;	17-02-14 10:22	;	1	;	1005.6
17-02-14 10:22	;	17-02-14 10:23	;	1	;	1058.6
17-02-14 10:23	;	17-02-14 10:24	;	1	;	942.2
17-02-14 10:24	;	17-02-14 10:26	;	1	;	646.5
17-02-14 10:26	;	17-02-14 10:27	;	1	;	344.0
17-02-14 10:27	;	17-02-14 10:29	;	1	;	477.0
17-02-14 10:29	;	17-02-14 10:30	;	1	;	469.5
17-02-14 10:30	;	17-02-14 10:32	;	1	;	455.3
17-02-14 10:32	;	17-02-14 10:33	;	1	;	405.2
17-02-14 10:33	;	17-02-14 10:35	;	1	;	450.6
17-02-14 10:35	;	17-02-14 10:36	;	1	;	461.2
17-02-14 10:36	;	17-02-14 10:37	;	1	;	460.7
17-02-14 10:37	;	17-02-14 10:39	;	1	;	460.5
17-02-14 10:39	;	17-02-14 10:40	;	1	;	510.6
17-02-14 10:40	;	17-02-14 10:42	;	1	;	314.4
17-02-14 10:42	;	17-02-14 10:43	;	1	;	123.2
17-02-14 10:43	;	17-02-14 10:45	;	1	;	80.9
17-02-14 10:45	;	17-02-14 10:46	;	1	;	230.4
17-02-14 10:46	;	17-02-14 10:48	;	1	;	339.5
17-02-14 10:48	;	17-02-14 10:49	;	1	;	120.4
17-02-14 10:49	;	17-02-14 10:50	;	1	;	251.7
17-02-14 10:50	;	17-02-14 10:52	;	1	;	122.4
17-02-14 10:52	;	17-02-14 10:53	;	1	;	153.8
