/* MODELED VALUE AT SENSOR LOCATION:
Date/Time (sampling start)	;	Date/Time (sampling end)	;	Obs duration [min]	;	Modeled values
17-02-14 09:00	;	17-02-14 09:01	;	1	;	594.7				;
17-02-14 09:01	;	17-02-14 09:02	;	1	;	1136.366929435      ;
17-02-14 09:02	;	17-02-14 09:04	;	1	;	2167.1533319984     ;
17-02-14 09:04	;	17-02-14 09:05	;	1	;	4118.5766053121     ;
17-02-14 09:05	;	17-02-14 09:07	;	1	;	7833.2958474159     ;
17-02-14 09:07	;	17-02-14 09:08	;	1	;	14889.4478946326    ;
17-02-14 09:08	;	17-02-14 09:10	;	1	;	28294.3258978408    ;
17-02-14 09:10	;	17-02-14 09:11	;	1	;	53764.7254919179    ;
17-02-14 09:11	;	17-02-14 09:12	;	1	;	102154.865252075    ;
17-02-14 09:12	;	17-02-14 09:14	;	1	;	194095.183983816    ;
17-02-14 09:14	;	17-02-14 09:15	;	1	;	368788.930908176    ;
17-02-14 09:15	;	17-02-14 09:17	;	1	;	700706.226050463    ;
17-02-14 09:17	;	17-02-14 09:18	;	1	;	1331348.88422027    ;
17-02-14 09:18	;	17-02-14 09:20	;	1	;	2529563.45710405    ;
17-02-14 09:20	;	17-02-14 09:21	;	1	;	4806177.49088647    ;
17-02-14 09:21	;	17-02-14 09:23	;	1	;	9131737.96084555    ;
17-02-14 09:23	;	17-02-14 09:24	;	1	;	17350310.805512     ;
17-02-14 09:24	;	17-02-14 09:25	;	1	;	32965594.3466657    ;
17-02-14 09:25	;	17-02-14 09:27	;	1	;	62634630.9889881    ;
17-02-14 09:27	;	17-02-14 09:28	;	1	;	119005806.833685    ;
17-02-14 09:28	;	17-02-14 09:30	;	1	;	226111034.041292    ;
17-02-14 09:30	;	17-02-14 09:31	;	1	;	429610971.077431    ;
17-02-14 09:31	;	17-02-14 09:33	;	1	;	816260852.75494     ;
17-02-14 09:33	;	17-02-14 09:34	;	1	;	1550895622.49383    ;
17-02-14 09:34	;	17-02-14 09:36	;	1	;	2946701685.3667     ;
17-02-14 09:36	;	17-02-14 09:37	;	1	;	5598733202.45773    ;
17-02-14 09:37	;	17-02-14 09:38	;	1	;	10637593087.7398    ;
17-02-14 09:38	;	17-02-14 09:40	;	1	;	20211426868.3797    ;
17-02-14 09:40	;	17-02-14 09:41	;	1	;	38401711057.6786    ;
17-02-14 09:41	;	17-02-14 09:43	;	1	;	72963251010.8798    ;
17-02-14 09:43	;	17-02-14 09:44	;	1	;	138630176928.675    ;
17-02-14 09:44	;	17-02-14 09:46	;	1	;	263397336164.619    ;
17-02-14 09:46	;	17-02-14 09:47	;	1	;	500454938712.924    ;
17-02-14 09:47	;	17-02-14 09:48	;	1	;	100090987749.458    ;
17-02-14 09:48	;	17-02-14 09:50	;	1	;	20018197557.9388    ;
17-02-14 09:50	;	17-02-14 09:51	;	1	;	4003639517.81277    ;
17-02-14 09:51	;	17-02-14 09:53	;	1	;	800727907.818162    ;
17-02-14 09:53	;	17-02-14 09:54	;	1	;	160145586.269957    ;
17-02-14 09:54	;	17-02-14 09:56	;	1	;	32029121.5341661    ;
17-02-14 09:56	;	17-02-14 09:57	;	1	;	6405831.71109631    ;
