/* METEO_STATION DESCRIPTION:
Date/Time (sampling start);	Date/Time (sampling end);	Obs duration [min];	Temperature (C)	;	Wind speed (m s-1) 	;	Mixing height (m)	;	PG stability class 
17-02-14 09:00	;17-02-14 09:01	;1 ;	11	;	3.0	;	800	;	2
17-02-14 09:01	;17-02-14 09:02	;1;	12	;	3.4	;	1000	;	2
17-02-14 09:02	;17-02-14 09:04	;1;	13	;	3.5	;	1100	;	2
17-02-14 09:04	;17-02-14 09:05	;1;	14	;	3.8	;	1200	;	2
17-02-14 09:05	;17-02-14 09:07	;1;	15	;	4.7	;	1300	;	2
17-02-14 09:07	;17-02-14 09:08	;1;	16	;	5.2	;	1000	;	3
17-02-14 09:08	;17-02-14 09:10	;1;	17	;	5.4	;	1100	;	3
17-02-14 09:10	;17-02-14 09:11	;1;	18	;	4.9	;	1100	;	4
17-02-14 09:11	;17-02-14 09:12	;1;	19	;	4.2	;	1100	;	5
17-02-14 09:12	;17-02-14 09:14	;1;	10	;	2.6	;	1600	;	2
17-02-14 09:14	;17-02-14 09:15	;1;	11	;	3.2	;	1900	;	2
17-02-14 09:15	;17-02-14 09:17	;1;	12	;	3.8	;	1600	;	2
17-02-14 09:17	;17-02-14 09:18	;1;	13	;	4.5	;	1600	;	2
17-02-14 09:18	;17-02-14 09:20	;1;	14	;	5.0	;	1500	;	2
17-02-14 09:20	;17-02-14 09:21	;1;	15	;	5.1	;	1500	;	2
17-02-14 09:21	;17-02-14 09:23	;1;	16	;	5.0	;	1500	;	3
17-02-14 09:23	;17-02-14 09:24	;1;	17	;	5.2	;	1500	;	3
17-02-14 09:24	;17-02-14 09:25	;1;	18	;	5.1	;	1500	;	4
17-02-14 09:25	;17-02-14 09:27	;1;	16	;	5.7	;	1400	;	3
17-02-14 09:27	;17-02-14 09:28	;1;	17	;	5.1	;	1800	;	3
17-02-14 09:28	;17-02-14 09:30	;1;	18	;	5.1	;	2000	;	4
17-02-14 09:30	;17-02-14 09:31	;1;	19	;	4.4	;	2000	;	5
17-02-14 09:31	;17-02-14 09:33	;1;	20	;	4.6	;	2000	;	6
17-02-14 09:33	;17-02-14 09:34	;1;	21	;	4.9	;	2000	;	6
17-02-14 09:34	;17-02-14 09:36	;1;	22	;	4.6	;	0	;	6
17-02-14 09:36	;17-02-14 09:37	;1;	23	;	5.4	;	0	;	6
17-02-14 09:37	;17-02-14 09:38	;1;	24	;	5.4	;	0	;	6
17-02-14 09:38	;17-02-14 09:40	;1;	14	;	4.4	;	1500	;	2
17-02-14 09:40	;17-02-14 09:41	;1;	15	;	5.0	;	1500	;	2
17-02-14 09:41	;17-02-14 09:43	;1;	16	;	4.7	;	1500	;	3
17-02-14 09:43	;17-02-14 09:44	;1;	17	;	3.9	;	1800	;	3
17-02-14 09:44	;17-02-14 09:46	;1;	18	;	4.2	;	2000	;	4
17-02-14 09:46	;17-02-14 09:47	;1;	19	;	3.1	;	1800	;	5
17-02-14 09:47	;17-02-14 09:48	;1;	20	;	3.2	;	1500	;	6
17-02-14 09:48	;17-02-14 09:50	;1;	21	;	3.1	;	1200	;	6
17-02-14 09:50	;17-02-14 09:51	;1;	22	;	3.3	;	1200	;	6
17-02-14 09:51	;17-02-14 09:53	;1;	20	;	3.8	;	2000	;	5
17-02-14 09:53	;17-02-14 09:54	;1;	21	;	2.3	;	2000	;	4
17-02-14 09:54	;17-02-14 09:56	;1;	22	;	2.4	;	2000	;	5
17-02-14 09:56	;17-02-14 09:57	;1;	23	;	3.6	;	2000	;	6
17-02-14 09:57	;17-02-14 09:59	;1;	24	;	3.5	;	2000	;	6
17-02-14 09:59	;17-02-14 10:00	;1;	1	;	4.2	;	0	;	6
17-02-14 10:00	;17-02-14 10:01	;1;	2	;	3.6	;	0	;	6
17-02-14 10:01	;17-02-14 10:03	;1;	4	;	5.2	;	0	;	6
17-02-14 10:03	;17-02-14 10:04	;1;	5	;	4.7	;	0	;	6
17-02-14 10:04	;17-02-14 10:06	;1;	6	;	2.9	;	0	;	6
17-02-14 10:06	;17-02-14 10:07	;1;	7	;	3.4	;	0	;	6
17-02-14 10:07	;17-02-14 10:09	;1;	8	;	3.1	;	1500	;	5
17-02-14 10:09	;17-02-14 10:10	;1;	9	;	3.4	;	1500	;	4
17-02-14 10:10	;17-02-14 10:12	;1;	10	;	3.4	;	1500	;	3
17-02-14 10:12	;17-02-14 10:13	;1;	11	;	3.0	;	1300	;	2
17-02-14 10:13	;17-02-14 10:14	;1;	12	;	4.5	;	1200	;	2
17-02-14 10:14	;17-02-14 10:16	;1;	1	;	2.3	;	1200	;	6
17-02-14 10:16	;17-02-14 10:17	;1;	2	;	2.5	;	1200	;	6
17-02-14 10:17	;17-02-14 10:19	;1;	3	;	2.4	;	1200	;	6
17-02-14 10:19	;17-02-14 10:20	;1;	4	;	2.1	;	1200	;	6
17-02-14 10:20	;17-02-14 10:22	;1;	5	;	2.1	;	1200	;	6
17-02-14 10:22	;17-02-14 10:23	;1;	6	;	2.0	;	1200	;	6
