/* MODELED VALUE AT SENSOR LOCATION:
Date/Time (sampling start)	;	Date/Time (sampling end)	;	Obs duration [min]	;	Modeled values
17-02-14 09:00	;	17-02-14 09:01	;	1	;	52.7					;	
17-02-14 09:01	;	17-02-14 09:02	;	1	;	1014.6464272409         ;
17-02-14 09:02	;	17-02-14 09:04	;	1	;	1734.096791955          ;
17-02-14 09:04	;	17-02-14 09:05	;	1	;	2949.5883099937         ;
17-02-14 09:05	;	17-02-14 09:07	;	1	;	5018.3506366675         ;
17-02-14 09:07	;	17-02-14 09:08	;	1	;	8537.1230385268         ;
17-02-14 09:08	;	17-02-14 09:10	;	1	;	14513.5226011815        ;
17-02-14 09:10	;	17-02-14 09:11	;	1	;	24678.9449647124        ;
17-02-14 09:11	;	17-02-14 09:12	;	1	;	41961.792334374         ;
17-02-14 09:12	;	17-02-14 09:14	;	1	;	71337.4462266024        ;
17-02-14 09:14	;	17-02-14 09:15	;	1	;	121282.255283528        ;
17-02-14 09:15	;	17-02-14 09:17	;	1	;	206187.641101456        ;
17-02-14 09:17	;	17-02-14 09:18	;	1	;	350523.719199882        ;
17-02-14 09:18	;	17-02-14 09:20	;	1	;	595893.187412726        ;
17-02-14 09:20	;	17-02-14 09:21	;	1	;	1013027.55591538        ;
17-02-14 09:21	;	17-02-14 09:23	;	1	;	1722147.83075534        ;
17-02-14 09:23	;	17-02-14 09:24	;	1	;	2927655.18604737        ;
17-02-14 09:24	;	17-02-14 09:25	;	1	;	4977019.3691992         ;
17-02-14 09:25	;	17-02-14 09:27	;	1	;	8460933.94466259        ;
17-02-14 09:27	;	17-02-14 09:28	;	1	;	14383590.4973518        ;
17-02-14 09:28	;	17-02-14 09:30	;	1	;	24452105.0455953        ;
17-02-14 09:30	;	17-02-14 09:31	;	1	;	41568585.2401104        ;
17-02-14 09:31	;	17-02-14 09:33	;	1	;	70666603.0109464        ;
17-02-14 09:33	;	17-02-14 09:34	;	1	;	120133226.272445        ;
17-02-14 09:34	;	17-02-14 09:36	;	1	;	204226490.708746        ;
17-02-14 09:36	;	17-02-14 09:37	;	1	;	347185043.854734        ;
17-02-14 09:37	;	17-02-14 09:38	;	1	;	590214583.839504        ;
17-02-14 09:38	;	17-02-14 09:40	;	1	;	1003364793.78387        ;
17-02-14 09:40	;	17-02-14 09:41	;	1	;	1705720156.88964        ;
17-02-14 09:41	;	17-02-14 09:43	;	1	;	2899724269.27102        ;
17-02-14 09:43	;	17-02-14 09:44	;	1	;	4929531260.09909        ;
17-02-14 09:44	;	17-02-14 09:46	;	1	;	8380203142.64763        ;
17-02-14 09:46	;	17-02-14 09:47	;	1	;	14246345346.8127        ;
17-02-14 09:47	;	17-02-14 09:48	;	1	;	24218787094.8621        ;
17-02-14 09:48	;	17-02-14 09:50	;	1	;	41171938069.9066        ;
17-02-14 09:50	;	17-02-14 09:51	;	1	;	69992294723.0214        ;
17-02-14 09:51	;	17-02-14 09:53	;	1	;	118986901033.426        ;
17-02-14 09:53	;	17-02-14 09:54	;	1	;	202277731759.34         ;
17-02-14 09:54	;	17-02-14 09:56	;	1	;	343872143994.82         ;
17-02-14 09:56	;	17-02-14 09:57	;	1	;	584582644799.221        ;
17-02-14 09:57	;	17-02-14 09:59	;	1	;	993790496165.191        ;
17-02-14 09:59	;	17-02-14 10:00	;	1	;	1689443843488.36        ;
17-02-14 10:00	;	17-02-14 10:01	;	1	;	2872054533938.71        ;
17-02-14 10:01	;	17-02-14 10:03	;	1	;	4882492707705.35        ;
17-02-14 10:03	;	17-02-14 10:04	;	1	;	8300237603102.28        ;
17-02-14 10:04	;	17-02-14 10:06	;	1	;	14110403925274.3        ;
17-02-14 10:06	;	17-02-14 10:07	;	1	;	23987686672975.5        ;
17-02-14 10:07	;	17-02-14 10:09	;	1	;	4797537334599.86        ;
17-02-14 10:09	;	17-02-14 10:10	;	1	;	959507466924.316        ;
17-02-14 10:10	;	17-02-14 10:12	;	1	;	191901493393.673        ;
17-02-14 10:12	;	17-02-14 10:13	;	1	;	38380298683.964         ;
17-02-14 10:13	;	17-02-14 10:14	;	1	;	7676059743.05379        ;
17-02-14 10:14	;	17-02-14 10:16	;	1	;	1535211953.35486        ;
17-02-14 10:16	;	17-02-14 10:17	;	1	;	307042395.777155        ;
17-02-14 10:17	;	17-02-14 10:19	;	1	;	61408485.5546861        ;
17-02-14 10:19	;	17-02-14 10:20	;	1	;	12281706.6990249        ;
17-02-14 10:20	;	17-02-14 10:22	;	1	;	2456348.63303717        ;
17-02-14 10:22	;	17-02-14 10:23	;	1	;	491273.492736991        ;
17-02-14 10:23	;	17-02-14 10:24	;	1	;	98259.7910230429        ;
17-02-14 10:24	;	17-02-14 10:26	;	1	;	19661.7843702279        ;
17-02-14 10:26	;	17-02-14 10:27	;	1	;	3933.7608034109         ;
17-02-14 10:27	;	17-02-14 10:29	;	1	;	791.0854717477          ;
17-02-14 10:29	;	17-02-14 10:30	;	1	;	165.7419809255          ;
17-02-14 10:30	;	17-02-14 10:32	;	1	;	38.988681999            ;
17-02-14 10:32	;	17-02-14 10:33	;	1	;	16.6223322367           ;
17-02-14 10:33	;	17-02-14 10:35	;	1	;	6.4949981468            ;
17-02-14 10:35	;	17-02-14 10:36	;	1	;	4.2576627633            ;
17-02-14 10:36	;	17-02-14 10:37	;	1	;	7.9183976807            ;
17-02-14 10:37	;	17-02-14 10:39	;	1	;	2.036478807             ;
17-02-14 10:39	;	17-02-14 10:40	;	1	;	9.2196472606            ;
17-02-14 10:40	;	17-02-14 10:42	;	1	;	3.0271208806            ;
17-02-14 10:42	;	17-02-14 10:43	;	1	;	9.9145452531            ;
17-02-14 10:43	;	17-02-14 10:45	;	1	;	2.5375996421            ;
17-02-14 10:45	;	17-02-14 10:46	;	1	;	2.8380639396            ;
