/* MODELED VALUE AT SENSOR LOCATION:
Date/Time (sampling start)	;	Date/Time (sampling end)	;	Obs duration [min]	;	Modeled values
17-02-14 09:00	;	17-02-14 09:01	;	1	;	594.7
17-02-14 09:01	;	17-02-14 09:02	;	1	;	585.8
17-02-14 09:02	;	17-02-14 09:04	;	1	;	580.3
17-02-14 09:04	;	17-02-14 09:05	;	1	;	652.1
17-02-14 09:05	;	17-02-14 09:07	;	1	;	704.7
17-02-14 09:07	;	17-02-14 09:08	;	1	;	570.1
17-02-14 09:08	;	17-02-14 09:10	;	1	;	510.1
17-02-14 09:10	;	17-02-14 09:11	;	1	;	463.4
17-02-14 09:11	;	17-02-14 09:12	;	1	;	131.0
17-02-14 09:12	;	17-02-14 09:14	;	1	;	1116.1
17-02-14 09:14	;	17-02-14 09:15	;	1	;	1175.1
17-02-14 09:15	;	17-02-14 09:17	;	1	;	1081.7
17-02-14 09:17	;	17-02-14 09:18	;	1	;	905.1
17-02-14 09:18	;	17-02-14 09:20	;	1	;	862.0
17-02-14 09:20	;	17-02-14 09:21	;	1	;	767.0
17-02-14 09:21	;	17-02-14 09:23	;	1	;	728.2
17-02-14 09:23	;	17-02-14 09:24	;	1	;	657.5
17-02-14 09:24	;	17-02-14 09:25	;	1	;	412.3
17-02-14 09:25	;	17-02-14 09:27	;	1	;	774.2
17-02-14 09:27	;	17-02-14 09:28	;	1	;	757.3
17-02-14 09:28	;	17-02-14 09:30	;	1	;	512.3
17-02-14 09:30	;	17-02-14 09:31	;	1	;	441.4
17-02-14 09:31	;	17-02-14 09:33	;	1	;	456.1
17-02-14 09:33	;	17-02-14 09:34	;	1	;	255.6
17-02-14 09:34	;	17-02-14 09:36	;	1	;	0.5
17-02-14 09:36	;	17-02-14 09:37	;	1	;	208.9
17-02-14 09:37	;	17-02-14 09:38	;	1	;	354.0
17-02-14 09:38	;	17-02-14 09:40	;	1	;	987.1
17-02-14 09:40	;	17-02-14 09:41	;	1	;	921.6
17-02-14 09:41	;	17-02-14 09:43	;	1	;	826.8
17-02-14 09:43	;	17-02-14 09:44	;	1	;	908.2
17-02-14 09:44	;	17-02-14 09:46	;	1	;	788.6
17-02-14 09:46	;	17-02-14 09:47	;	1	;	383.1
17-02-14 09:47	;	17-02-14 09:48	;	1	;	213.5
17-02-14 09:48	;	17-02-14 09:50	;	1	;	142.2
17-02-14 09:50	;	17-02-14 09:51	;	1	;	176.3
17-02-14 09:51	;	17-02-14 09:53	;	1	;	167.1
17-02-14 09:53	;	17-02-14 09:54	;	1	;	188.4
17-02-14 09:54	;	17-02-14 09:56	;	1	;	234.9
17-02-14 09:56	;	17-02-14 09:57	;	1	;	184.0
17-02-14 09:57	;	17-02-14 09:59	;	1	;	126.3
17-02-14 09:59	;	17-02-14 10:00	;	1	;	30.0
17-02-14 10:00	;	17-02-14 10:01	;	1	;	4.0
17-02-14 10:01	;	17-02-14 10:03	;	1	;	454.6
17-02-14 10:03	;	17-02-14 10:04	;	1	;	295.9
17-02-14 10:04	;	17-02-14 10:06	;	1	;	1.0
17-02-14 10:06	;	17-02-14 10:07	;	1	;	361.1
17-02-14 10:07	;	17-02-14 10:09	;	1	;	144.2
17-02-14 10:09	;	17-02-14 10:10	;	1	;	608.9
17-02-14 10:10	;	17-02-14 10:12	;	1	;	805.4
17-02-14 10:12	;	17-02-14 10:13	;	1	;	706.2
17-02-14 10:13	;	17-02-14 10:14	;	1	;	670.9
17-02-14 10:14	;	17-02-14 10:16	;	1	;	232.5
17-02-14 10:16	;	17-02-14 10:17	;	1	;	226.8
17-02-14 10:17	;	17-02-14 10:19	;	1	;	202.5
17-02-14 10:19	;	17-02-14 10:20	;	1	;	186.1
17-02-14 10:20	;	17-02-14 10:22	;	1	;	260.2
17-02-14 10:22	;	17-02-14 10:23	;	1	;	72.7
17-02-14 10:23	;	17-02-14 10:24	;	1	;	208.5
17-02-14 10:24	;	17-02-14 10:26	;	1	;	218.0
17-02-14 10:26	;	17-02-14 10:27	;	1	;	206.1
17-02-14 10:27	;	17-02-14 10:29	;	1	;	197.9
17-02-14 10:29	;	17-02-14 10:30	;	1	;	198.7
17-02-14 10:30	;	17-02-14 10:32	;	1	;	228.5
17-02-14 10:32	;	17-02-14 10:33	;	1	;	147.6
17-02-14 10:33	;	17-02-14 10:35	;	1	;	139.2
17-02-14 10:35	;	17-02-14 10:36	;	1	;	169.5
17-02-14 10:36	;	17-02-14 10:37	;	1	;	145.6
17-02-14 10:37	;	17-02-14 10:39	;	1	;	257.2
17-02-14 10:39	;	17-02-14 10:40	;	1	;	251.1
17-02-14 10:40	;	17-02-14 10:42	;	1	;	248.5
17-02-14 10:42	;	17-02-14 10:43	;	1	;	254.9
17-02-14 10:43	;	17-02-14 10:45	;	1	;	160.9
17-02-14 10:45	;	17-02-14 10:46	;	1	;	193.2
17-02-14 10:46	;	17-02-14 10:48	;	1	;	165.0
17-02-14 10:48	;	17-02-14 10:49	;	1	;	154.0
17-02-14 10:49	;	17-02-14 10:50	;	1	;	163.2
17-02-14 10:50	;	17-02-14 10:52	;	1	;	175.6
17-02-14 10:52	;	17-02-14 10:53	;	1	;	193.1
